# the q's: q1 = 0.976250, q2 = -0.124056, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 19.815000 
#  
9.762504571676515752e-01,-1.240559860628737132e-01,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.213458019736302518e+00
5.585255920063006307e+00,2.342733807510123611e+00,-5.645280119037339617e+00
2.323884249053982665e-01,-2.939264487174374912e-02,-3.550387724930283428e-01
-4.002981509888037803e-01,-1.668868282957951532e-01,3.294221021855235909e-01
-2.048196054491879248e-01,-5.958557108665183365e-03,1.757244934446650086e-01
-1.955865157194276727e-01,5.588064413701442773e-02,1.757771044252287584e-01
-6.424085476971616582e-02,-2.822415452643160100e-02,6.271487269281311727e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
