# the q's: q1 = 0.473561, q2 = 0.027846, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 5.000000 
#  
4.735609969489833482e-01,2.784642857882742642e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.050032487353852240e+00
1.019459866131255110e-01,6.713266801274818396e-02,-1.653512685553811257e-01
1.267286501777745988e-01,7.452267001596853124e-03,-1.263803429352793328e-01
9.731903301741302859e-02,6.408488970891157432e-02,-1.099803250759605472e-01
8.017331237099964425e-02,1.979496690494013042e-02,-7.055032589081161598e-02
8.193997836893963937e-02,-1.026331497435698827e-02,-7.055046931571451463e-02
5.228989957665532845e-02,3.443291616079847961e-02,-5.168556662924982115e-02
4.249733584610240755e-02,2.497801424471337434e-03,-3.161984180046265719e-02
3.413929841944925853e-02,1.081984190092332571e-02,-2.650457917095457028e-02
3.517427976401716477e-02,-6.743337417603527568e-03,-2.650506536981764305e-02
1.797486229944197239e-02,1.183566098483579236e-02,-1.513399457091418182e-02
