# the q's: q1 = 0.955957, q2 = -0.012599, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 3.000000 
#  
9.559567655307138478e-01,-1.259932564519960531e-02,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.248575290824686990e+00
4.735272187218271256e-01,2.651321524681312103e-01,-5.086074160533796684e-01
9.894348814551040538e-02,-1.303249019473262226e-03,-9.671593183885028588e-02
2.052487884866651888e-02,1.149285214246718867e-02,-2.447689806346889721e-02
-1.462401807475850572e-02,-2.576153732329541056e-03,1.343693669278789131e-02
-1.455274530599610927e-02,2.960633802664395294e-03,1.343728470081802587e-02
-9.485245414254670285e-03,-5.310238091057975507e-03,1.012810402496531516e-02
-3.947222533490231389e-03,5.185414604992042337e-05,3.842761604549543766e-03
-2.333783046220440967e-03,-6.810497218276397383e-04,2.369314000489645619e-03
-2.315625637685000699e-03,7.427485035351267867e-04,2.369501534501997336e-03
-6.842012743146198785e-05,-3.817253302744709752e-05,1.938263411549371424e-04
