# the q's: q1 = 0.599274, q2 = -0.002063, q3 = 0.000000 
#  mag[:,0] = mi[0], mag[:,1] = mi[1], mag[2] = mr[2] B-Feld = 4.000000 
#  
5.992736416678055011e-01,-2.062659905137193602e-03,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.923080682409647579e+00
1.953075433931682758e-01,1.118685602545835545e-01,-2.376623109683333734e-01
1.680108342208491701e-01,-5.786896049401230209e-04,-1.512868853237680500e-01
1.164734453820045201e-01,6.671153478281381666e-02,-1.196911955122363369e-01
6.429714169860724360e-02,1.203224584788614888e-02,-5.822071530023368441e-02
6.421149645779926363e-02,-1.247611182341125564e-02,-5.822005356525652986e-02
3.412905977114374934e-02,1.954992349224447465e-02,-3.532805578034362709e-02
1.741272073544062465e-02,-6.083303619764671903e-05,-1.569566822914072665e-02
1.221989030903124045e-02,3.193377900991934120e-03,-1.176116849668363239e-02
1.219779165505985134e-02,-3.279179237001153199e-03,-1.176132337688927040e-02
3.171962551925470563e-03,1.816904335419882235e-03,-4.289974981032990305e-03
